,Title,Rating,Genres
tt6966692,Green Book,8.2,"['Biography', 'Comedy', 'Drama']"
tt0055031,Judgment at Nuremberg,8.3,"['Drama', 'War']"
tt0089881,Ran,8.2,"['Action', 'Drama', 'War']"
tt0112641,Casino,8.2,"['Crime', 'Drama']"
tt0120382,The Truman Show,8.2,"['Comedy', 'Drama']"
tt0457430,Pan's Labyrinth,8.2,"['Drama', 'Fantasy', 'War']"
tt0469494,There Will Be Blood,8.2,['Drama']
tt0105695,Unforgiven,8.2,"['Drama', 'Western']"
tt0167404,The Sixth Sense,8.2,"['Drama', 'Mystery', 'Thriller']"
tt1130884,Shutter Island,8.2,"['Mystery', 'Thriller']"
tt0268978,A Beautiful Mind,8.2,"['Biography', 'Drama']"
tt0107290,Jurassic Park,8.2,"['Action', 'Adventure', 'Sci-Fi']"
tt0055630,Yojimbo,8.2,"['Action', 'Drama', 'Thriller']"
tt0040897,The Treasure of the Sierra Madre,8.2,"['Adventure', 'Drama', 'Western']"
tt0071853,Monty Python and the Holy Grail,8.2,"['Adventure', 'Comedy', 'Fantasy']"
tt0057115,The Great Escape,8.2,"['Adventure', 'Drama', 'History']"
tt0477348,No Country for Old Men,8.2,"['Crime', 'Drama', 'Thriller']"
tt0266697,Kill Bill: Vol. 1,8.2,"['Action', 'Crime', 'Drama']"
tt0042876,Rashomon,8.2,"['Crime', 'Drama', 'Mystery']"
tt10872600,Spider-Man: No Way Home,8.2,"['Action', 'Adventure', 'Fantasy']"
tt0084787,The Thing,8.2,"['Horror', 'Mystery', 'Sci-Fi']"
tt0266543,Finding Nemo,8.2,"['Animation', 'Adventure', 'Comedy']"
tt0080678,The Elephant Man,8.2,"['Biography', 'Drama']"
tt0071315,Chinatown,8.2,"['Drama', 'Mystery', 'Thriller']"
tt0081398,Raging Bull,8.2,"['Biography', 'Drama', 'Sport']"
tt0434409,V for Vendetta,8.2,"['Action', 'Drama', 'Sci-Fi']"
tt0031381,Gone with the Wind,8.2,"['Drama', 'Romance', 'War']"
tt0120735,"Lock, Stock and Two Smoking Barrels",8.2,"['Action', 'Comedy', 'Crime']"
tt2096673,Inside Out,8.2,"['Animation', 'Adventure', 'Comedy']"
tt0046912,Dial M for Murder,8.2,"['Crime', 'Thriller']"
tt1305806,The Secret in Their Eyes,8.2,"['Drama', 'Mystery', 'Romance']"
tt0347149,Howl's Moving Castle,8.2,"['Animation', 'Adventure', 'Family']"
tt5027774,"Three Billboards Outside Ebbing, Missouri",8.1,"['Comedy', 'Crime', 'Drama']"
tt0050212,The Bridge on the River Kwai,8.2,"['Adventure', 'Drama', 'War']"
tt0117951,Trainspotting,8.1,['Drama']
tt1392214,Prisoners,8.1,"['Crime', 'Drama', 'Mystery']"
tt1291584,Warrior,8.2,"['Action', 'Drama', 'Sport']"
tt0116282,Fargo,8.1,"['Crime', 'Thriller']"
tt1205489,Gran Torino,8.1,['Drama']
tt0096283,My Neighbor Totoro,8.1,"['Animation', 'Comedy', 'Family']"
tt0264464,Catch Me If You Can,8.1,"['Biography', 'Crime', 'Drama']"
tt0405159,Million Dollar Baby,8.1,"['Drama', 'Sport']"
tt0118849,Children of Heaven,8.2,"['Drama', 'Family', 'Sport']"
tt0083658,Blade Runner,8.1,"['Action', 'Drama', 'Sci-Fi']"
tt0015864,The Gold Rush,8.1,"['Adventure', 'Comedy', 'Drama']"
tt4729430,Klaus,8.2,"['Animation', 'Adventure', 'Comedy']"
tt0112471,Before Sunrise,8.1,"['Drama', 'Romance']"
tt1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,"['Adventure', 'Family', 'Fantasy']"
tt2024544,12 Years a Slave,8.1,"['Biography', 'Drama', 'History']"
tt0047296,On the Waterfront,8.1,"['Crime', 'Drama', 'Thriller']"
tt0052618,Ben-Hur,8.1,"['Adventure', 'Drama']"
tt2278388,The Grand Budapest Hotel,8.1,"['Adventure', 'Comedy', 'Crime']"
tt2267998,Gone Girl,8.1,"['Drama', 'Mystery', 'Thriller']"
tt0050986,Wild Strawberries,8.1,"['Drama', 'Romance']"
tt0017925,The General,8.1,"['Action', 'Adventure', 'Comedy']"
tt0107207,In the Name of the Father,8.1,"['Biography', 'Crime', 'Drama']"
tt0041959,The Third Man,8.1,"['Film-Noir', 'Mystery', 'Thriller']"
tt0072684,Barry Lyndon,8.1,"['Adventure', 'Drama', 'War']"
tt0077416,The Deer Hunter,8.1,"['Drama', 'War']"
tt2119532,Hacksaw Ridge,8.1,"['Biography', 'Drama', 'History']"
tt0046268,The Wages of Fear,8.2,"['Adventure', 'Drama', 'Thriller']"
tt0353969,Memories of Murder,8.1,"['Crime', 'Drama', 'Mystery']"
tt0015324,Sherlock Jr.,8.2,"['Action', 'Comedy', 'Romance']"
tt3011894,Wild Tales,8.1,"['Comedy', 'Drama', 'Thriller']"
tt0031679,Mr. Smith Goes to Washington,8.1,"['Comedy', 'Drama']"
tt1392190,Mad Max: Fury Road,8.1,"['Action', 'Adventure', 'Sci-Fi']"
tt0978762,Mary and Max,8.1,"['Animation', 'Comedy', 'Drama']"
tt0050976,The Seventh Seal,8.1,"['Drama', 'Fantasy']"
tt0892769,How to Train Your Dragon,8.1,"['Animation', 'Action', 'Adventure']"
tt0198781,"Monsters, Inc.",8.1,"['Animation', 'Adventure', 'Comedy']"
tt3170832,Room,8.1,"['Drama', 'Thriller']"
tt0073195,Jaws,8.1,"['Adventure', 'Thriller']"
tt0097165,Dead Poets Society,8.1,"['Comedy', 'Drama']"
tt0118715,The Big Lebowski,8.1,"['Comedy', 'Crime']"
tt0046438,Tokyo Story,8.2,['Drama']
tt0019254,The Passion of Joan of Arc,8.2,"['Biography', 'Drama', 'History']"
tt1950186,Ford v Ferrari,8.1,"['Action', 'Biography', 'Drama']"
tt0395169,Hotel Rwanda,8.1,"['Biography', 'Drama', 'History']"
tt0075148,Rocky,8.1,"['Drama', 'Sport']"
tt0091763,Platoon,8.1,"['Drama', 'War']"
tt0382932,Ratatouille,8.1,"['Animation', 'Adventure', 'Comedy']"
tt1895587,Spotlight,8.1,"['Biography', 'Crime', 'Drama']"
tt0088247,The Terminator,8.1,"['Action', 'Sci-Fi']"
tt3315342,Logan,8.1,"['Action', 'Drama', 'Sci-Fi']"
tt0092005,Stand by Me,8.1,"['Adventure', 'Drama']"
tt1979320,Rush,8.1,"['Action', 'Biography', 'Drama']"
tt0074958,Network,8.1,['Drama']
tt0381681,Before Sunset,8.1,"['Drama', 'Romance']"
tt0758758,Into the Wild,8.1,"['Adventure', 'Biography', 'Drama']"
tt0032138,The Wizard of Oz,8.1,"['Adventure', 'Family', 'Fantasy']"
tt0036868,The Best Years of Our Lives,8.1,"['Drama', 'Romance', 'War']"
tt0048473,Pather Panchali,8.3,['Drama']
tt0107048,Groundhog Day,8.1,"['Comedy', 'Drama', 'Fantasy']"
tt0070047,The Exorcist,8.1,['Horror']
tt0035446,To Be or Not to Be,8.2,"['Comedy', 'Romance', 'War']"
tt0317705,The Incredibles,8.0,"['Animation', 'Action', 'Adventure']"
tt0113247,La haine,8.1,"['Crime', 'Drama']"
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,"['Action', 'Adventure', 'Fantasy']"
tt0058946,The Battle of Algiers,8.1,"['Drama', 'War']"
tt1028532,Hachi: A Dog's Tale,8.1,"['Biography', 'Drama', 'Family']"
tt0032551,The Grapes of Wrath,8.1,['Drama']
tt15097216,Jai Bhim,8.8,"['Crime', 'Drama', 'Mystery']"
tt0476735,My Father and My Son,8.2,"['Drama', 'Family']"
tt0245712,Amores Perros,8.1,"['Drama', 'Thriller']"
tt0032976,Rebecca,8.1,"['Drama', 'Film-Noir', 'Mystery']"
tt0061512,Cool Hand Luke,8.1,"['Crime', 'Drama']"
tt4016934,The Handmaiden,8.1,"['Drama', 'Romance', 'Thriller']"
tt0053198,The 400 Blows,8.1,"['Crime', 'Drama']"
tt0059742,The Sound of Music,8.1,"['Biography', 'Drama', 'Family']"
tt0025316,It Happened One Night,8.1,"['Comedy', 'Romance']"
tt0060827,Persona,8.1,"['Drama', 'Thriller']"
tt0079470,Life of Brian,8.0,['Comedy']
tt0129167,The Iron Giant,8.1,"['Animation', 'Action', 'Adventure']"
tt0071411,Dersu Uzala,8.2,"['Adventure', 'Biography', 'Drama']"
tt1454029,The Help,8.1,['Drama']
tt0103639,Aladdin,8.0,"['Animation', 'Adventure', 'Comedy']"
tt0083987,Gandhi,8.0,"['Biography', 'Drama', 'History']"
tt0099348,Dances with Wolves,8.0,"['Adventure', 'Drama', 'Western']"
